Feature,Rank
hsa-let-7a-1,1
hsa-let-7a-2,2
hsa-let-7b,3
hsa-let-7c,4
hsa-let-7e,5
hsa-let-7f-2,6
hsa-let-7i,7
hsa-mir-1-1,8
hsa-mir-100,9
hsa-mir-103b-2,10
hsa-mir-105-2,11
hsa-mir-106a,12
hsa-mir-106b,13
hsa-mir-1179,14
hsa-mir-1208,15
hsa-mir-122,16
hsa-mir-1238,17
hsa-mir-1244-4,18
hsa-mir-1246,19
hsa-mir-1247,20
hsa-mir-1248,21
hsa-mir-1250,22
hsa-mir-1257,23
hsa-mir-125a,24
hsa-mir-125b-1,25
hsa-mir-1265,26
hsa-mir-1268b,27
hsa-mir-1269a,28
hsa-mir-1269b,29
hsa-mir-127,30
hsa-mir-1270,31
hsa-mir-1279,32
hsa-mir-128-1,33
hsa-mir-1286,34
hsa-mir-1289-2,35
hsa-mir-129-1,36
hsa-mir-1292,37
hsa-mir-1294,38
hsa-mir-1295b,39
hsa-mir-1297,40
hsa-mir-1299,41
hsa-mir-1306,42
hsa-mir-1307,43
hsa-mir-130a,44
hsa-mir-130b,45
hsa-mir-1322,46
hsa-mir-1324,47
hsa-mir-133a-2,48
hsa-mir-133b,49
hsa-mir-1343,50
hsa-mir-135a-1,51
hsa-mir-135a-2,52
hsa-mir-135b,53
hsa-mir-136,54
hsa-mir-137,55
hsa-mir-138-1,56
hsa-mir-138-2,57
hsa-mir-139,58
hsa-mir-140,59
hsa-mir-143,60
hsa-mir-144,61
hsa-mir-145,62
hsa-mir-148a,63
hsa-mir-148b,64
hsa-mir-149,65
hsa-mir-151a,66
hsa-mir-151b,67
hsa-mir-153-1,68
hsa-mir-1539,69
hsa-mir-154,70
hsa-mir-1587,71
hsa-mir-15a,72
hsa-mir-15b,73
hsa-mir-16-1,74
hsa-mir-17,75
hsa-mir-181a-1,76
hsa-mir-181a-2,77
hsa-mir-181b-1,78
hsa-mir-181b-2,79
hsa-mir-181c,80
hsa-mir-183,81
hsa-mir-184,82
hsa-mir-185,83
hsa-mir-186,84
hsa-mir-187,85
hsa-mir-188,86
hsa-mir-1909,87
hsa-mir-190a,88
hsa-mir-190b,89
hsa-mir-191,90
hsa-mir-192,91
hsa-mir-193a,92
hsa-mir-194-1,93
hsa-mir-194-2,94
hsa-mir-195,95
hsa-mir-196a-1,96
hsa-mir-196a-2,97
hsa-mir-196b,98
hsa-mir-1973,99
hsa-mir-198,100
hsa-mir-199a-1,101
hsa-mir-199a-2,102
hsa-mir-199b,103
hsa-mir-19a,104
hsa-mir-19b-1,105
hsa-mir-19b-2,106
hsa-mir-200b,107
hsa-mir-200c,108
hsa-mir-203a,109
hsa-mir-203b,110
hsa-mir-204,111
hsa-mir-2054,112
hsa-mir-208b,113
hsa-mir-20a,114
hsa-mir-21,115
hsa-mir-2117,116
hsa-mir-212,117
hsa-mir-214,118
hsa-mir-215,119
hsa-mir-216a,120
hsa-mir-216b,121
hsa-mir-217,122
hsa-mir-218-1,123
hsa-mir-218-2,124
hsa-mir-219a-1,125
hsa-mir-22,126
hsa-mir-222,127
hsa-mir-2278,128
hsa-mir-23a,129
hsa-mir-23c,130
hsa-mir-24-1,131
hsa-mir-2467,132
hsa-mir-26a-2,133
hsa-mir-26b,134
hsa-mir-27a,135
hsa-mir-27b,136
hsa-mir-2909,137
hsa-mir-29a,138
hsa-mir-29b-1,139
hsa-mir-29b-2,140
hsa-mir-300,141
hsa-mir-301a,142
hsa-mir-301b,143
hsa-mir-3064,144
hsa-mir-3065,145
hsa-mir-30a,146
hsa-mir-30b,147
hsa-mir-30c-1,148
hsa-mir-30d,149
hsa-mir-30e,150
hsa-mir-3126,151
hsa-mir-3130-1,152
hsa-mir-3143,153
hsa-mir-3150a,154
hsa-mir-3169,155
hsa-mir-3199-2,156
hsa-mir-32,157
hsa-mir-3202-2,158
hsa-mir-320b-1,159
hsa-mir-320c-1,160
hsa-mir-323a,161
hsa-mir-323b,162
hsa-mir-325,163
hsa-mir-326,164
hsa-mir-328,165
hsa-mir-329-1,166
hsa-mir-329-2,167
hsa-mir-330,168
hsa-mir-331,169
hsa-mir-335,170
hsa-mir-337,171
hsa-mir-338,172
hsa-mir-339,173
hsa-mir-33b,174
hsa-mir-340,175
hsa-mir-342,176
hsa-mir-345,177
hsa-mir-346,178
hsa-mir-34a,179
hsa-mir-34b,180
hsa-mir-3591,181
hsa-mir-3606,182
hsa-mir-3607,183
hsa-mir-3609,184
hsa-mir-3612,185
hsa-mir-3614,186
hsa-mir-3616,187
hsa-mir-3619,188
hsa-mir-3622b,189
hsa-mir-3652,190
hsa-mir-3659,191
hsa-mir-3675,192
hsa-mir-3689f,193
hsa-mir-369,194
hsa-mir-3692,195
hsa-mir-371b,196
hsa-mir-373,197
hsa-mir-374a,198
hsa-mir-374b,199
hsa-mir-374c,200
hsa-mir-376b,201
hsa-mir-377,202
hsa-mir-378b,203
hsa-mir-378d-1,204
hsa-mir-380,205
hsa-mir-381,206
hsa-mir-382,207
hsa-mir-3908,208
hsa-mir-3929,209
hsa-mir-3978,210
hsa-mir-409,211
hsa-mir-410,212
hsa-mir-411,213
hsa-mir-412,214
hsa-mir-422a,215
hsa-mir-423,216
hsa-mir-424,217
hsa-mir-4289,218
hsa-mir-4309,219
hsa-mir-4319,220
hsa-mir-4329,221
hsa-mir-4421,222
hsa-mir-4422,223
hsa-mir-4442,224
hsa-mir-4453,225
hsa-mir-4499,226
hsa-mir-4500,227
hsa-mir-4509-3,228
hsa-mir-450a-2,229
hsa-mir-451b,230
hsa-mir-4520-2,231
hsa-mir-4539,232
hsa-mir-4540,233
hsa-mir-4635,234
hsa-mir-4659b,235
hsa-mir-4660,236
hsa-mir-4661,237
hsa-mir-4667,238
hsa-mir-4676,239
hsa-mir-4741,240
hsa-mir-4783,241
hsa-mir-4804,242
hsa-mir-483,243
hsa-mir-484,244
hsa-mir-485,245
hsa-mir-486-1,246
hsa-mir-486-2,247
hsa-mir-487b,248
hsa-mir-488,249
hsa-mir-489,250
hsa-mir-490,251
hsa-mir-492,252
hsa-mir-493,253
hsa-mir-494,254
hsa-mir-495,255
hsa-mir-496,256
hsa-mir-498,257
hsa-mir-4999,258
hsa-mir-5009,259
hsa-mir-500a,260
hsa-mir-500b,261
hsa-mir-501,262
hsa-mir-5011,263
hsa-mir-502,264
hsa-mir-503,265
hsa-mir-5047,266
hsa-mir-505,267
hsa-mir-507,268
hsa-mir-509-1,269
hsa-mir-509-2,270
hsa-mir-5096,271
hsa-mir-5100,272
hsa-mir-511,273
hsa-mir-512-1,274
hsa-mir-513a-2,275
hsa-mir-513b,276
hsa-mir-513c,277
hsa-mir-514a-1,278
hsa-mir-514a-2,279
hsa-mir-516a-2,280
hsa-mir-518b,281
hsa-mir-518e,282
hsa-mir-519e,283
hsa-mir-526a-2,284
hsa-mir-527,285
hsa-mir-532,286
hsa-mir-539,287
hsa-mir-541,288
hsa-mir-542,289
hsa-mir-548b,290
hsa-mir-548d-2,291
hsa-mir-548u,292
hsa-mir-551a,293
hsa-mir-5587,294
hsa-mir-5591,295
hsa-mir-5682,296
hsa-mir-5698,297
hsa-mir-5739,298
hsa-mir-576,299
hsa-mir-581,300
hsa-mir-583,301
hsa-mir-588,302
hsa-mir-589,303
hsa-mir-591,304
hsa-mir-597,305
hsa-mir-598,306
hsa-mir-614,307
hsa-mir-615,308
hsa-mir-617,309
hsa-mir-624,310
hsa-mir-627,311
hsa-mir-628,312
hsa-mir-640,313
hsa-mir-641,314
hsa-mir-6506,315
hsa-mir-6509,316
hsa-mir-6516,317
hsa-mir-652,318
hsa-mir-653,319
hsa-mir-654,320
hsa-mir-655,321
hsa-mir-659,322
hsa-mir-663b,323
hsa-mir-664a,324
hsa-mir-670,325
hsa-mir-6717,326
hsa-mir-6719,327
hsa-mir-6749,328
hsa-mir-6759,329
hsa-mir-6802,330
hsa-mir-6814,331
hsa-mir-6853,332
hsa-mir-6891,333
hsa-mir-6895,334
hsa-mir-7-2,335
hsa-mir-7-3,336
hsa-mir-7155,337
hsa-mir-718,338
hsa-mir-7515,339
hsa-mir-764,340
hsa-mir-765,341
hsa-mir-766,342
hsa-mir-767,343
hsa-mir-770,344
hsa-mir-7705,345
hsa-mir-7978,346
hsa-mir-873,347
hsa-mir-874,348
hsa-mir-877,349
hsa-mir-885,350
hsa-mir-887,351
hsa-mir-888,352
hsa-mir-890,353
hsa-mir-891a,354
hsa-mir-891b,355
hsa-mir-892b,356
hsa-mir-892c,357
hsa-mir-924,358
hsa-mir-92a-1,359
hsa-mir-92a-2,360
hsa-mir-933,361
hsa-mir-934,362
hsa-mir-939,363
hsa-mir-943,364
hsa-mir-944,365
hsa-mir-9500,366
hsa-mir-96,367
hsa-mir-98,368
